Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53916142,A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,"Attenborough, David",,"=""1538719983""","=""9781538719985""",4,4.50,Grand Central Publishing,Hardcover,272,2020,2020,2025/11/28,2025/03/25,"natural-science, science, biography, climate","natural-science (#1), science (#9), biography (#1), climate (#1)",read,"This fine book by British national treasure Sir David Attenborough is part memoir, part witness statement, and part call to action. He uses the story of his own long and fascinating life as a frame for the immense changes in the natural world over the last century, switching between personal anecdotes, global data, and a clear-eyed view of what we have done to the planet.<br/><br/>Attenborough threads both pessimism and optimism through the book, and backs both with science. We have undoubtedly wrought huge damage, ecosystems degraded, species lost, and atmospheric carbon rising relentlessly. In 1937, when he was eleven, the world population was about 2.3 billion, atmospheric carbon 280 ppm, and remaining wilderness roughly 66 %. By 2020, at ninety-three, those numbers had shifted to 7.8 billion people, 415 ppm, and only 35 % wilderness. The contrast is stark and he does not sugar-coat it.<br/><br/>To its credit, this is not a book of leftist doom or vague moralising. I was a bit worried by the opening framing around Chernobyl, which can feel like a heavy-handed metaphor at first, but the way he returns to it at the end works well. The exclusion zone in Ukraine has effectively become an outstanding natural reserve simply because people left. Wildlife has thrived. Attenborough uses this to underline a simple point our presence is powerful, but it is also ephemeral, and nature is surprisingly quick to reclaim space when given the chance.<br/><br/>Stylistically, it is very much Attenborough, clear, calm, and quietly urgent rather than shouty. He repeats a few key ideas, like the need for “wisdom” rather than just intelligence, and the reminder that our planet is “small, isolated and vulnerable”. These are not new concepts if you have read much climate or environmental writing, but hearing them distilled in his voice, anchored in a lifetime of direct observation, gives them extra weight.<br/><br/>At the same time some genuine improvements are a little ignored. Forested area has been expanding in many parts of the world for decades, some species have been brought back from the brink, and there are examples of successful conservation and smarter land use. It is not a wall of despair, which makes the warning land more strongly.<br/><br/>Why four stars and not five? Mainly because, for me, it sits slightly awkwardly between genres. It is not quite a full autobiography, and not quite a deep technical book on climate science or ecology, so readers who want one or the other in depth might feel a little under-served. The solutions section is OK but high level, and if you already follow these topics closely, much of it will feel familiar. And i disagree that say there are too many people or that we need to reduce consumption - we just need to do it in a green way. I am sure it is possible. Not sure it is probable. <br/><br/>That said, it is a thoughtful, humane, and often moving summary of where we are and how we got here, written by someone uniquely placed to tell that story. As an accessible overview of the planetary crisis from a voice almost everyone trusts, it is hard to beat.",,,1,0
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo",,"=""0399184414""","=""9780399184413""",4,3.98,Riverhead Books,Hardcover,81,2016,2014,,2019/09/21,"consciousness, philosophy, rovelli, science","consciousness (#4), philosophy (#8), rovelli (#2), science (#8)",read,"A lovely read. Rovelli’s style is still brilliant - clear, warm, almost poetic - but this collection of essays didn’t hit as hard as his other books. Those have more depth and a stronger narrative that carries you through the big ideas. Here the writing is as good as ever, but the treatment is much more surface level.<br/><br/>The broader story is a tour of the breakthroughs that reshaped modern physics. Starting with Einstein’s revolution (the best one), to quantum weirdness, to the structure of the cosmos and even Rovelli’s own ideas about spacetime. He touches lightly on each of the seven “lessons” - relativity, quantum theory, the cosmos, particles, the graininess of space, time and entropy, and finally our place in all of it. All interesting, but never quite as immersive or gripping as his other work.<br/><br/>Still, it’s a sharp, engaging read on the key ideas that built the physics of today & some cool ideas about where it may go. Very good, just not Rovelli at full depth.",,,1,0
23246708,נשיפה,Ted Chiang,"Chiang, Ted","טד צ'יאנג, דידי חנוך","=""9659202954""","=""9789659202959""",0,4.27,טרה,ebook,12,2014,2019,,2019/05/04,to-read,to-read (#123),to-read,,,,0,0
330947,"The Gates of Rome (Emperor, #1)",Conn Iggulden,"Iggulden, Conn",,"=""0440240948""","=""9780440240945""",3,4.20,Dell Books,Mass Market Paperback,452,2004,2003,2025/10/28,2025/08/24,,,read,"The Gates of Rome — ★★★☆☆<br/><br/>A fun adventure set in the early days of Gaius, soon to be Julius Caesar. It’s entertaining historical fiction, but very heavy on the fiction - Conn Iggulden clearly wants to tell a story, and a lot of the historical nuance gets sacrificed along the way. Some big-picture events are simplified or invented, but if you can set that aside, Sulla and Marius in particular make for standout characters.<br/><br/>The story of Julius and his best friend Marcus had me checking the real history a few times it was slightly confusing (I thought he was another  famous Marcus). The “fivesome” of heroes are fun is a little simplistic, the one with mild magical tendencies is an odd but amusing touch. The action scenes are well done, though the main cast never feel in real danger. Some dialogue leans a bit forced and heavy on exposition.<br/><br/>I loved Iggulden’s Sharpe series as a kid and his Genghis Khan Conqueror series more recently, this one doesn’t quite reach those heights but still hits the spot if you’re a fan of the author or the era.",,,1,0
217387741,Proto: How One Ancient Language Went Global,Laura Spinney,"Spinney, Laura",,"=""1639732586""","=""9781639732586""",0,4.19,Bloomsbury Publishing,Hardcover,352,2025,2025,,2025/10/27,to-read,to-read (#310),to-read,,,,0,0
224004657,"All That We See or Seem (Julia Z, #1)",Ken Liu,"Liu, Ken",,"=""1668083175""","=""9781668083178""",0,3.54,S&S/Saga Press,Hardcover,404,2025,2025,,2025/10/11,to-read,to-read (#309),to-read,,,,0,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace Books,Mass Market Paperback,271,1985,1984,,2018/08/15,to-read,to-read (#19),to-read,,,,0,0
241713746,The Great Holocene Transformation: What Complexity Science Tells Us about the Evolution of Complex Societies,Peter Turchin,"Turchin, Peter",,"=""196734308X""","=""9781967343089""",0,5.00,Beresta Books,Paperback,426,2025,,,2025/09/26,to-read,to-read (#308),to-read,,,,0,0
61401116,"The Satsuma Complex (Gary Thorn, #1)",Bob Mortimer,"Mortimer, Bob",,"=""1398521213""","=""9781398521216""",4,3.68,Gallery,Kindle Edition,301,2022,2022,2025/08/07,2025/08/02,"fiction, comedey","fiction (#1), comedey (#1)",read,"Very funny local mystery with our hero Gary, the deadpan, gentle “shithouse” paralegal - I later learned that in another life he could be Bob Mortimer himself.<br/><br/>The opening felt a bit simple and odd, but once the second point of view comes in, the writing clicks - suddenly vivid and effortless. The character work is spot-on, and Mortimer’s voice in the audio version shines through.<br/><br/>Not strictly a comedy, but there are laugh-out-loud moments that are some of the funniest scenes I’ve ever read. The mechanic scene (tea, then nettles) is genius, and the police interview line “no comment, other than to say there’s a cat at home desperate for a shit” had me in bits. Some great decriptive prose too """"he smelled like a supermodels handbag"".<br/><br/>Tense, intriguing, silly, and surprisingly sharp. Recommended.",,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,2025/05/07,2024/12/22,"sci-fi, fantasy, ai, future","sci-fi (#2), fantasy (#3), ai (#7), future (#6)",read,"I listened to the Stephen Fry narration - what a rollicking adventure. Only afterwards did I learn it was originally a radio play, which makes perfect sense.<br/><br/>It’s incredibly funny and incredibly British. I knew half the jokes already just from cultural osmosis, despite never reading the book or watching the film before. Some of the one-liners still got me (“best bang since the big one”), and the weird set-pieces like the whale’s inner monologue as it plummets towards the planet - had me properly laughing. Dolphins and hamsters(!)… still not sure what to say there ahaha.<br/><br/>What surprised me is how much it still resonates. The computer “Deep Thought” and the philosophers terrified of being put out of a job feel straight out of the current AI/LLM debates. Even Google cribbed its name from “Googleplex.” Adams was way ahead of his time.<br/><br/>Very funny, very weird, and now I get why it’s such a global touchstone.",,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",3,4.10,Dial Press,Paperback,275,1999,1969,2025/07/09,2018/08/15,"sci-fi, history, philosophy","sci-fi (#1), history (#3), philosophy (#7)",read,"I went into this expecting a “war classic” and instead found something stranger - weird autobiography dressed as science fiction . Vonnegut opens by half-telling his own story, then hands it off to Billy Pilgrim, who slips in and out of time like a faulty radio. The famous bombing of Dresden is telegraphed from the first pages, but you don’t actually get there until very late in the book- after detours through a dreary middle-class American life enlivened by a trip to Tralfamadore, a planet where the ailiens experince time differntly (all at once) where Billy is enstalled in an alien zoo.<br/><br/>It’s deliberately jarring. The writing lurches between deadpan absurdity, black humour, and blunt horror. One moment Vonnegut himself is cameoing “shitting his brains out”, the next Billy is drifting through suburban America or lying in the rubble of Dresden. The result is a book that feels scattered, even unserious, it;s probably the point - trauma doesn’t present itself neatly. Memory doesn’t run in straight lines.<br/><br/>Billy himself is written to be almost aggressively bland, which makes the violence stand out sharper and the humour more grotesque. You laugh at times, but the laughter curdles quickly. The book most reminded reminded me of the Hitchhiker’s Guide to the Galaxy if you stripped out the British whimsy and left only the bleakness.<br/><br/>As an anti-war novel, it’s unusual because it doesn’t argue, persuade, or moralise. Instead it shows you either s fractured mind trying to process a world that no longer makes sense, or some weird aliens, and it forces you to sit with that. I admired the experiment and laughed at some of the darker jokes, but I can’t say I loved the reading experience and i am a lirrlt suprpised at its ""classic"" status.<br/><br/>Overall: a strange, influential book that has major anti-war credentials that are not as obvious as say ""all quiet on the Western front"" - it maybe works more as a cultural artefact than a story I’d want to revisit.<br/><br/>*I checked at the nubers for the dead from the Dresden boombing are far in excess of what historians now think - but were the estimations at the time. ",,,2,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",4,4.28,HarperCollins,Paperback,293,1997,1988,2020/06/07,2019/01/27,,,read,"The second book of the well regarded series, and very different to the first. I had really enjoyed Consider Phelibas, though noticed it was both lower rated than others in the series and often came with guidence to read another first. I see why now. <br/><br/>The first is a great story very much in the military sci-fi anti-hero mould. Good but of that genre. Not for everyone. While this is quite unlike anything I've read. Nothing to do with space wars, here we explore the Culture but mostly another civilization through the game Azad. A game that is the central unifying force of a whole empire. Original and fascinating. <br/><br/>Like the best in sci-fi the book is smart, inventive, and a sharp comment on ideas, values, and structures of our own society. There are great lines on the philosophy of empire, on human AI relations, post-scarcity bordom, and cool new technology, there's a prison suit that sticks in the mind! <br/><br/>On AI relations in particular we can see who is in charge, the AIs manipulate (or at best persuade)  a willing human into carrying out their grand, interventionist and destructive plans.<br/><br/>I particularly enjoyed the many slights to our own culture, the book looks incredibly prescient on topics including fake news, distraction of the masses by courupt elites, toxic masculinity...though this probably just highlights that these are not new things. <br/><br/>Also like the first book sections can be brutal, gross, or funny. Some are several at the same time - look out for the song ""lick me out""!<br/><br/>We build to a well thought out and spectacular grand finale, though the very end was a tad predictable. <br/><br/>Can't wait for the next one.",,,1,0
11743019,'Salem's Lot,Stephen  King,"King, Stephen",,"=""""","=""""",0,4.10,Hodder & Stoughton,Paperback,751,2011,1975,,2019/04/06,to-read,to-read (#100),to-read,,,,0,0
16076785,The Better Angels of Our Nature: A History of Violence and Humanity,Steven Pinker,"Pinker, Steven",,"=""0141034645""","=""9780141034645""",5,4.16,Penguin,Paperback,1094,2012,2010,,2018/02/21,,,read,,,,1,0
2315892,Best Served Cold,Joe Abercrombie,"Abercrombie, Joe",,"=""0575082453""","=""9780575082458""",5,4.25,Gollancz,Hardcover,534,2009,2009,2025/04/13,2025/01/17,fantasy,fantasy (#2),read,"'Best Served Cold' hooked me from the start – I'm a big fan of this brutal, brilliant world, and this instalment didn’t disappoint. <br/><br/>The story is set several years after the events of the first trilogy in a renaissance Italy-type setting and fuses a vicious revenge arc from a brilliant new character, Monza, with the stories of a range of B, C, and D tier characters from the original books – with varying degrees of success.<br/><br/>But overall I did not feel it was as good as the first trilogy. I think this is because I love fewer characters, and the plot, while twisting and surprising, is not as mysterious or complex. More black and white compared to shades of grey. <br/><br/>While I'm sure all fans were as happy as me to see more of Nicomo Cosca, I was not as thrilled to find more of the acrid Vitari. Caul Shivers, the other main protagonist, has a compelling story – though it occasionally feels a little like ""Logen lite"" – the tough, unlucky but good-hearted (and occasionally very angry) Northerner, who, lacking purpose, embarks on a terrible downward spiral. <br/><br/>Revenge is the main theme of the book, and we do viscerally feel it. It feels good as a reader, but not so much for the characters themselves – is it an empty motivator? <br/><br/>The A-cast characters from the original trilogy have either walk-on parts or exist only in the thoughts of our current players. I respect the artistic choice there – much more to come, of course. <br/><br/>As with the trilogy, this book doesn’t shy away from gritty detail – the violence and sex scenes are raw, vivid, and often brilliantly uncomfortable. One passage, with two of the stars who turn out to be with other people, was brilliantly executed. Wonderful writing. <br/><br/>On a grander scale, the eternal war rages on. We learn quite a bit more without interacting with any main players. This was fun, but one new player in this game felt very deus ex machina. I'm unsure of his future in the series and if I will like it. Five star even if not quite as good as the first three, more please sir! ",,,1,0
208511270,On the Calculation of Volume I,Solvej Balle,"Balle, Solvej",Barbara J. Haveland,"=""0811237257""","=""9780811237253""",0,3.71,New Directions,Paperback,176,2024,2020,,2025/01/26,to-read,to-read (#307),to-read,,,,0,0
30121516,Monetizing Innovation: How Smart Companies Design the Product Around the Price,Madhavan Ramanujam,"Ramanujam, Madhavan",Georg Tacke,"=""""","=""""",0,4.15,Wiley,Kindle Edition,256,2016,2016,,2025/01/11,to-read,to-read (#306),to-read,,,,0,0
